security,file,rank_1,rank_2,rank_3
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
AAPL,AAPL_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
V,ABBV_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
AMZN,AMZN_2023_10-K.html,oil_exposure,,
V,AVGO_2023_10-K.html,oil_exposure,,
V,AVGO_2023_10-K.html,oil_exposure,,
V,AVGO_2023_10-K.html,oil_exposure,,
V,AVGO_2023_10-K.html,oil_exposure,,
V,AVGO_2023_10-K.html,oil_exposure,,
V,AVGO_2023_10-K.html,oil_exposure,,
V,AVGO_2023_10-K.html,oil_exposure,,
V,AVGO_2023_10-K.html,oil_exposure,,
V,AVGO_2023_10-K.html,oil_exposure,,
V,AVGO_2023_10-K.html,oil_exposure,,
V,AVGO_2023_10-K.html,oil_exposure,,
V,AVGO_2023_10-K.html,oil_exposure,,
V,AVGO_2023_10-K.html,oil_exposure,,
V,AVGO_2023_10-K.html,oil_exposure,,
V,AVGO_2023_10-K.html,oil_exposure,,
V,AVGO_2023_10-K.html,oil_exposure,,
CAT,CAT_2023_10-K.html,oil_exposure,,
CAT,CAT_2023_10-K.html,oil_exposure,,
CAT,CAT_2023_10-K.html,oil_exposure,,
CAT,CAT_2023_10-K.html,oil_exposure,,
CAT,CAT_2023_10-K.html,oil_exposure,,
CAT,CAT_2023_10-K.html,oil_exposure,,
CAT,CAT_2023_10-K.html,oil_exposure,,
CAT,CAT_2023_10-K.html,oil_exposure,,
CAT,CAT_2023_10-K.html,oil_exposure,,
CAT,CAT_2023_10-K.html,oil_exposure,,
CAT,CAT_2023_10-K.html,oil_exposure,,
CAT,CAT_2023_10-K.html,oil_exposure,,
CAT,CAT_2023_10-K.html,oil_exposure,,
CAT,CAT_2023_10-K.html,oil_exposure,,
CAT,CAT_2023_10-K.html,oil_exposure,,
V,CVX_2023_10-K.html,oil_exposure,,
V,CVX_2023_10-K.html,oil_exposure,,
V,CVX_2023_10-K.html,oil_exposure,,
V,CVX_2023_10-K.html,oil_exposure,,
V,CVX_2023_10-K.html,oil_exposure,,
V,CVX_2023_10-K.html,oil_exposure,,
V,CVX_2023_10-K.html,oil_exposure,,
V,CVX_2023_10-K.html,oil_exposure,,
V,CVX_2023_10-K.html,oil_exposure,,
V,CVX_2023_10-K.html,oil_exposure,,
V,CVX_2023_10-K.html,oil_exposure,,
V,CVX_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
GOOG,GOOG_2023_10-K.html,oil_exposure,,
JNJ,JNJ_2023_10-K.html,oil_exposure,,
JNJ,JNJ_2023_10-K.html,oil_exposure,,
JNJ,JNJ_2023_10-K.html,oil_exposure,,
JNJ,JNJ_2023_10-K.html,oil_exposure,,
JNJ,JNJ_2023_10-K.html,oil_exposure,,
JNJ,JNJ_2023_10-K.html,oil_exposure,,
JNJ,JNJ_2023_10-K.html,oil_exposure,,
JNJ,JNJ_2023_10-K.html,oil_exposure,,
JNJ,JNJ_2023_10-K.html,oil_exposure,,
JNJ,JNJ_2023_10-K.html,oil_exposure,,
JNJ,JNJ_2023_10-K.html,oil_exposure,,
JNJ,JNJ_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
MSFT,MSFT_2023_10-K.html,oil_exposure,,
