Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2017,Jan-Feb,4.08,-1.42,4075.16,-1.42,104075.16,,
2017,,,,,,,4.08,-1.42
Cumulative CAGR,4.08%,,,,,,,
Final Portfolio Value,"$104,075.16",,,,,,,
Symbol,XLK,,,,,,,
Series CSV,"SPY,VIXCLS,DGS2,DGS10,DGS30,DGS1MO,DGS3MO,DGS6MO,EFFR,FEDFUNDS,T10YIE,M2SL",,,,,,,
