Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2023,Jan-Dec,1.82,-3.96,1818.57,-3.96,101818.57,,
2023,,,,,,,1.82,-3.96
Cumulative CAGR,1.82%,,,,,,,
Final Portfolio Value,"$101,818.57",,,,,,,
Symbol,XLK,,,,,,,
Series CSV,"SPY,VIXCLS,DGS2,DGS10,DGS30,DGS1MO,DGS3MO,DGS6MO,EFFR,FEDFUNDS,T10YIE,M2SL",,,,,,,
