Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2013,Jan-Feb,0.44,-2.4,435.67,-2.4,100435.67,,
2013,Mar-Apr,2.08,-4.22,2521.93,-4.22,102521.93,,
2013,,,,,,,2.52,-4.22
Cumulative CAGR,2.52%,,,,,,,
Final Portfolio Value,"$102,521.93",,,,,,,
Symbol,XLK,,,,,,,
Series CSV,"SPY,DGS2,DGS10,DGS30,DGS1MO,DGS3MO,DGS6MO,EFFR,VIXCLS,WALCL,WLTLECL,T10YIE,EXPINF1YR,FEDFUNDS,REAINTRATREARAT10Y,CORESTICKM159SFRBATL,M2SL",,,,,,,
