Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2013,Jan-Feb,0.0,0.0,0.0,0.0,100000,,
2013,,,,,,,0.0,0.0
Cumulative CAGR,0.0%,,,,,,,
Final Portfolio Value,"$100,000.00",,,,,,,
Symbol,XLK,,,,,,,
Series CSV,"SPY,VIXCLS,DGS2,DGS10,DGS30,DGS1MO,DGS3MO,DGS6MO,EFFR,FEDFUNDS,T10YIE,M2SL,LEI_ARIMA_1_1_1_step_1,NFCI",,,,,,,
