Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2014,Jan-Feb,0.0,0.0,0.0,0.0,100000.0,,
2014,Mar-Apr,-4.99,-5.94,-4990.78,-5.94,95009.22,,
2014,May-Jun,2.55,-1.76,-2572.44,-5.94,97427.56,,
2014,Jul-Aug,-0.4,-1.59,-2963.88,-5.94,97036.12,,
2014,Sep-Oct,0.0,0.0,-2963.88,-5.94,97036.12,,
2014,Nov-Dec,0.0,0.0,-2963.88,-5.94,97036.12,,
2015,Jan-Feb,0.0,0.0,-2963.88,-5.94,97036.12,,
2015,Mar-Apr,0.0,0.0,-2963.88,-5.94,97036.12,,
2015,May-Jun,0.0,0.0,-2963.88,-5.94,97036.12,,
2015,Jul-Aug,0.0,0.0,-2963.88,-5.94,97036.12,,
2015,Sep-Oct,0.0,0.0,-2963.88,-5.94,97036.12,,
2015,Nov-Dec,0.0,0.0,-2963.88,-5.94,97036.12,,
2016,Jan-Feb,0.0,0.0,-2963.88,-5.94,97036.12,,
2016,Mar-Apr,0.0,0.0,-2963.88,-5.94,97036.12,,
2016,May-Jun,0.0,0.0,-2963.88,-5.94,97036.12,,
2016,Jul-Aug,-1.06,-1.69,-3991.16,-5.94,96008.84,,
2016,Sep-Oct,-1.87,-2.64,-5793.49,-5.94,94206.51,,
2016,Nov-Dec,2.09,-3.51,-3825.32,-5.94,96174.68,,
2017,Jan-Feb,4.17,-1.37,183.14,-5.94,100183.14,,
2017,Mar-Apr,2.91,-1.1,3097.36,-5.94,103097.36,,
2017,May-Jun,-0.14,-3.37,2954.52,-5.94,102954.52,,
2017,Jul-Aug,0.0,0.0,2954.52,-5.94,102954.52,,
2017,Sep-Oct,0.0,0.0,2954.52,-5.94,102954.52,,
2017,Nov-Dec,0.0,0.0,2954.52,-5.94,102954.52,,
2018,Jan-Feb,0.0,0.0,2954.52,-5.94,102954.52,,
2018,Mar-Apr,0.0,0.0,2954.52,-5.94,102954.52,,
2018,May-Jun,0.0,0.0,2954.52,-5.94,102954.52,,
2018,Jul-Aug,2.21,-2.0,5226.05,-5.94,105226.05,,
2018,Sep-Oct,-7.8,-9.19,-2984.47,-9.19,97015.53,,
2018,Nov-Dec,0.0,0.0,-2984.47,-9.19,97015.53,,
2019,Jan-Feb,0.0,0.0,-2984.47,-9.19,97015.53,,
2019,Mar-Apr,0.0,0.0,-2984.47,-9.19,97015.53,,
2019,May-Jun,0.0,0.0,-2984.47,-9.19,97015.53,,
2019,Jul-Aug,0.0,0.0,-2984.47,-9.19,97015.53,,
2019,Sep-Oct,0.0,0.0,-2984.47,-9.19,97015.53,,
2019,Nov-Dec,0.0,0.0,-2984.47,-9.19,97015.53,,
2014,,,,,,,-2.96,-6.75
2015,,,,,,,0.0,0.0
2016,,,,,,,-0.89,-6.44
2017,,,,,,,7.05,-3.37
2018,,,,,,,-5.77,-9.19
2019,,,,,,,0.0,0.0
Cumulative CAGR,-0.5%,,,,,,,
Final Portfolio Value,"$97,015.53",,,,,,,
Symbol,XLY,,,,,,,
Series CSV,"SPY,UMCSENT,VIXCLS,FEDFUNDS,LEI_n_NFCI_ind_US_5,LEI_ARIMA_1_1_1,PAYEMS",,,,,,,
