Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2014,Jan-Feb,8.15,-2.2,8.15,-2.2,108152.54,,
2014,,,,,,,8.15,-2.2
Final Portfolio Value,"$108,152.54",,,,,,,
Cumulative Max Drawdown,-2.2%,,,,,,,
