Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2023,Jan-Feb,0.0,0.0,0.0,0.0,100000.0,,
2023,Mar-Apr,0.0,0.0,0.0,0.0,100000.0,,
2023,May-Jun,6.22,-4.12,6214.92,-4.12,106214.92,,
2023,Jul-Aug,2.15,-8.63,8495.25,-8.63,108495.25,,
2023,Sep-Oct,-6.3,-7.42,1656.74,-8.63,101656.74,,
2023,Nov-Dec,12.06,-1.51,13914.64,-8.63,113914.64,,
2024,Jan-Feb,0.0,0.0,13914.64,-8.63,113914.64,,
2024,Mar-Apr,0.0,0.0,13914.64,-8.63,113914.64,,
2024,May-Jun,0.0,0.0,13914.64,-8.63,113914.64,,
2024,Jul-Aug,0.0,0.0,13914.64,-8.63,113914.64,,
2024,Sep-Oct,6.15,-4.95,20923.38,-8.63,120923.38,,
2024,Nov-Dec,1.96,-2.15,23287.78,-8.63,123287.78,,
2023,,,,,,,13.91,-8.63
2024,,,,,,,8.23,-4.95
Cumulative CAGR,11.04%,,,,,,,
Final Portfolio Value,"$123,287.78",,,,,,,
Symbol,XLK,,,,,,,
Series CSV,"SPY,VIXCLS,DGS2,DGS10,DGS30,DGS1MO,DGS3MO,DGS6MO,EFFR,FEDFUNDS,T10YIE,M2SL",,,,,,,
