Date,Value
Jan-20,115.930
Feb-20,111.544
Mar-20,100.429
Apr-20,91.795
May-20,105.313
Jun-20,113.882
Jul-20,117.785
Aug-20,119.873
Sep-20,121.699
Oct-20,125.140
Nov-20,130.299
Dec-20,127.868
Jan-21,128.611
Feb-21,127.708
Mar-21,128.548
Apr-21,128.919
May-21,128.272
Jun-21,127.075
Jul-21,127.978
Aug-21,128.205
Sep-21,130.134
Oct-21,130.695
Nov-21,132.027
Dec-21,132.966
Jan-22,132.582
Feb-22,136.326
Mar-22,136.492
Apr-22,136.038
May-22,135.565
Jun-22,134.417
Jul-22,133.185
Aug-22,130.371
Sep-22,130.496
Oct-22,129.864
Nov-22,130.048
Dec-22,133.568
Jan-23,137.152
Feb-23,138.021
Mar-23,137.732
Apr-23,138.764
May-23,137.882
Jun-23,140.907
Jul-23,136.841
Aug-23,139.703
Sep-23,136.582
Oct-23,134.726
Nov-23,131.677
Dec-23,125.467
Jan-24,125.131
Feb-24,115.630
Mar-24,111.333
Apr-24,116.424
May-24,122.743
Jun-24,117.052
Jul-24,119.807
Aug-24,120.076
Sep-24,122.093
Oct-24,123.301
Nov-24,125.073
