symbol,year,sentiment_mdna,sentiment_outlook,forward_ratio,hedge_ratio,optimism_score
SPGI,2023,0.0,0.2386,1.0,0.206,0.2781
ABBV,2023,0.0,0.2285,1.0,0.185,0.27725
HOOD,2023,0.0,0.2557,1.0,0.255,0.27685
EA,2023,0.0,0.2283,1.0,0.187,0.27675
AFL,2023,0.0,0.1864,1.0,0.085,0.2762
PANW,2023,0.0,0.2347,1.0,0.209,0.27555
DE,2023,0.0,0.2139,1.0,0.157,0.27555
URI,2023,0.0,0.2219,1.0,0.178,0.27535
IBM,2023,0.0,0.1878,1.0,0.093,0.2753
IRM,2023,0.0,0.2663,1.0,0.293,0.27455
QSR,2023,0.0,0.2251,1.0,0.192,0.27415
ODFL,2023,0.0,0.2368,1.0,0.224,0.2736
NVDA,2023,0.0,0.2072,1.0,0.155,0.2726
BSX,2023,0.0,0.2109,1.0,0.166,0.27225
WDC,2023,0.0,0.2153,1.0,0.178,0.27205
CSCO,2023,0.0,0.2182,1.0,0.192,0.2707
MNST,2023,0.0,0.2349,1.0,0.234,0.27065
PWR,2023,0.0,0.238,1.0,0.244,0.2702
ROL,2023,0.0,0.21,1.0,0.174,0.2702
NXPI,2023,0.0,0.2199,1.0,0.205,0.26895
IR,2023,0.0,0.2238,1.0,0.215,0.2689
CVS,2023,0.0,0.2529,1.0,0.29,0.26845
MO,2023,0.0,0.2059,1.0,0.173,0.26835
PH,2023,0.0,0.2102,1.0,0.185,0.2681
HCA,2023,0.0,0.2289,1.0,0.233,0.26785
NOW,2023,0.0,0.2342,1.0,0.247,0.2677
DHI,2023,0.0,0.1881,1.0,0.135,0.26705
KLAC,2023,0.0,0.2282,1.0,0.239,0.2663
CBRE,2023,0.0,0.2081,1.0,0.189,0.26625
FIS,2023,0.0,0.2193,1.0,0.218,0.26605
MCK,2023,0.0,0.1964,1.0,0.161,0.266
ADM,2023,0.0,0.1679,1.0,0.09,0.26595
ALNY,2023,0.0,0.2398,1.0,0.27,0.2659
ADSK,2023,0.0,0.2143,1.0,0.207,0.26575
PM,2023,0.0,0.1928,1.0,0.154,0.2656
ORCL,2023,0.0,0.2262,1.0,0.238,0.2655
MTB-PJ,2023,0.0,0.1781,1.0,0.118,0.26545
LIN,2023,0.0,0.1634,1.0,0.083,0.2651
SYM,2023,0.0,0.2424,1.0,0.281,0.265
MET-PF,2023,0.0,0.2107,1.0,0.202,0.26495
TDG,2023,0.0,0.2138,1.0,0.21,0.2649
QCOM,2023,0.0,0.2231,1.0,0.234,0.26475
AMP,2023,0.0,0.217,1.0,0.219,0.2647
GM,2023,0.0,0.1826,1.0,0.133,0.2647
WDAY,2023,0.0,0.2401,1.0,0.278,0.26445
EBAY,2023,0.0,0.2206,1.0,0.23,0.2643
SCCO,2023,0.0,0.1666,1.0,0.096,0.2641
IDXX,2023,0.0,0.2009,1.0,0.182,0.26405
PEP,2023,0.0,0.1767,1.0,0.123,0.26375
ATO,2023,0.0,0.2106,1.0,0.216,0.2621
ABT,2023,0.0,0.196,1.0,0.181,0.2618
PFE,2023,0.0,0.1891,1.0,0.166,0.26135
SNOW,2023,0.0,0.2285,1.0,0.265,0.26125
ECL,2023,0.0,0.1716,1.0,0.134,0.259
DDOG,2023,0.0,0.2349,1.0,0.293,0.25885
CRWD,2023,0.0,0.2097,1.0,0.231,0.25865
MPLXP,2023,0.0,0.1985,1.0,0.204,0.25845
TTD,2023,0.0,0.2157,1.0,0.251,0.25765
MPC,2023,0.0,0.1712,1.0,0.144,0.2568
ZTS,2023,0.0,0.192,1.0,0.197,0.2566
CSGP,2023,0.0,0.2087,1.0,0.239,0.25655
GOOG,2023,0.0,0.1963,1.0,0.211,0.25595
VRT,2023,0.0,0.2022,1.0,0.229,0.2553
RJF-PB,2023,0.0,0.1892,1.0,0.197,0.2552
CCL,2023,0.0,0.1784,1.0,0.173,0.2546
CUKPF,2023,0.0,0.1784,1.0,0.173,0.2546
BDX,2023,0.0,0.2078,1.0,0.248,0.2543
AMGN,2023,0.0,0.1831,1.0,0.189,0.25375
