Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2014,Jan-Feb,8.13,-2.2,8.13,-2.2,108131.98,,
2014,Mar-Apr,-2.7,-7.32,5.21,-7.32,105213.71,,
2014,,,,,,,-2.7,-7.32
Final Portfolio Value,"$105,213.71",,,,,,,
Cumulative Max Drawdown,-7.32%,,,,,,,
