Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2014,Jan-Feb,8.13,-2.21,8.13,-2.21,108126.08,,
2014,Mar-Apr,-2.69,-7.3,5.21,-7.3,105213.05,,
2014,,,,,,,-2.69,-7.3
Final Portfolio Value,"$105,213.05",,,,,,,
Cumulative Max Drawdown,-7.3%,,,,,,,
