Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2013,Jan-Feb,1961091.17,-2.08,19.61,-2.08,119608.41,,
2013,,,,,,,19.61,-2.08
Final Portfolio Value,"$119,608.41",,,,,,,
Cumulative Max Drawdown,-208.0%,,,,,,,
