Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2022,Jan-Feb,-2.57,-8.56,-2.57,-8.56,97434.99,,
2022,,,,,,,-2.57,-8.56
Final Portfolio Value,"$97,434.99",,,,,,,
Cumulative Max Drawdown,-8.56%,,,,,,,
