Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2022,Jan-Feb,-2.62,-8.59,-2.62,-8.59,97377.26,,
2022,,,,,,,-2.62,-8.59
Final Portfolio Value,"$97,377.26",,,,,,,
Cumulative Max Drawdown,-8.59%,,,,,,,
