Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2022,Jan-Feb,-2.56,-8.55,-2.56,-8.55,97444.98,,
2022,,,,,,,-2.56,-8.55
Final Portfolio Value,"$97,444.98",,,,,,,
Cumulative Max Drawdown,-8.55%,,,,,,,
