Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2014,Jan-Feb,8.13,-2.21,8.13,-2.21,108126.08,,
2014,,,,,,,8.13,-2.21
Final Portfolio Value,"$108,126.08",,,,,,,
Cumulative Max Drawdown,-2.21%,,,,,,,
