differenced_columns
open_XLV
high_XLV
low_XLV
close_XLV
CES6562000101
CPIMEDSL
DGS10
DGS1MO
DGS2
DGS30
DGS3MO
DGS6MO
EFFR
PCU325414325414
SPY
