differenced_columns
open_XLE
high_XLE
low_XLE
close_XLE
DTWEXBGS
FEDFUNDS
GASREGW
IPG211S
PAYEMS
PCU213111213111
SPR_DGS2_DGS10
SPR_DGS3MO_DGS10
SPR_US10Y_US02Y
SPR_US10Y_US03MY
SPY
TOTALSL
UMCSENT
WTISPLC
