differenced_columns
open_XLI
high_XLI
low_XLI
close_XLI
EFFR
FEDFUNDS
M2SL
SPR_US10Y_US02Y
SPR_US10Y_US03MY
SPY
T10YIE
US01MY
US02Y
US03MY
US06MY
US10Y
US30Y
