differenced_columns
open_QQQ
high_QQQ
low_QQQ
close_QQQ
EFFR
FEDFUNDS
M2SL
SPR_US02Y_US10Y
SPR_US03MY_US10Y
SPY
T10YIE
US01MY
US02Y
US03MY
US06MY
US10Y
US30Y
