differenced_columns
open_QQQ
high_QQQ
low_QQQ
close_QQQ
DGS10
DGS1MO
DGS2
DGS30
DGS3MO
DGS6MO
EFFR
FEDFUNDS
M2SL
OECD_CLI_ARIMA_1_1_1_step_1
SPR_EFFR_US01Y
SPR_EFFR_US03MY
SPR_SOFR_IORB
SPR_SOFR_RRPONTSYAWARD
SPY
T10YIE
