differenced_columns
open_XLI
high_XLI
low_XLI
close_XLI
AMTMNO
DGS10
DGS1MO
DGS2
DGS30
DGS3MO
DGS6MO
EFFR
FEDFUNDS
JTSJOL
M2SL
PAYEMS
SPR_DGS2_DGS10
SPR_DGS3MO_DGS10
SPR_MOVE_VIX
SPY
T10YIE
UMCSENT
